antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Therma-FIT'}),frozenset({'Tech Fleece'}),0.5119047619047619,0.5119047619047619,0.27380952380952384,0.5348837209302326,1.0448891292590592,1.0,0.01176303854875288,1.0494047619047622,0.08801696712619332,0.36507936507936517,0.04707884288145228,0.5348837209302326
frozenset({'Tech Fleece'}),frozenset({'Therma-FIT'}),0.5119047619047619,0.5119047619047619,0.27380952380952384,0.5348837209302326,1.0448891292590592,1.0,0.01176303854875288,1.0494047619047622,0.08801696712619332,0.36507936507936517,0.04707884288145228,0.5348837209302326
"frozenset({'Vapor Cricket', 'Tech Fleece'})",frozenset({'Therma-FIT'}),0.25,0.5119047619047619,0.13095238095238096,0.5238095238095238,1.0232558139534884,1.0,0.0029761904761904934,1.0250000000000001,0.030303030303030474,0.20754716981132076,0.024390243902439164,0.38981173864894797
frozenset({'Therma-FIT'}),"frozenset({'Vapor Cricket', 'Tech Fleece'})",0.5119047619047619,0.25,0.13095238095238096,0.2558139534883721,1.0232558139534884,1.0,0.0029761904761904934,1.0078125,0.04656319290465658,0.20754716981132076,0.007751937984496138,0.38981173864894797
frozenset({'Rain Jacket'}),frozenset({'Tech Fleece'}),0.5119047619047619,0.5119047619047619,0.27380952380952384,0.5348837209302326,1.0448891292590592,1.0,0.01176303854875288,1.0494047619047622,0.08801696712619332,0.36507936507936517,0.04707884288145228,0.5348837209302326
frozenset({'Tech Fleece'}),frozenset({'Rain Jacket'}),0.5119047619047619,0.5119047619047619,0.27380952380952384,0.5348837209302326,1.0448891292590592,1.0,0.01176303854875288,1.0494047619047622,0.08801696712619332,0.36507936507936517,0.04707884288145228,0.5348837209302326
"frozenset({'Rain Jacket', 'Therma-FIT'})",frozenset({'Tech Fleece'}),0.25,0.5119047619047619,0.14285714285714285,0.5714285714285714,1.1162790697674418,1.0,0.014880952380952384,1.1388888888888888,0.13888888888888892,0.23076923076923075,0.12195121951219513,0.42524916943521596
"frozenset({'Rain Jacket', 'Tech Fleece'})",frozenset({'Therma-FIT'}),0.27380952380952384,0.5119047619047619,0.14285714285714285,0.5217391304347825,1.0192113245702727,1.0,0.002692743764172334,1.0205627705627704,0.02595628415300545,0.22222222222222224,0.020148462354188587,0.4004044489383215
"frozenset({'Therma-FIT', 'Tech Fleece'})",frozenset({'Rain Jacket'}),0.27380952380952384,0.5119047619047619,0.14285714285714285,0.5217391304347825,1.0192113245702727,1.0,0.002692743764172334,1.0205627705627704,0.02595628415300545,0.22222222222222224,0.020148462354188587,0.4004044489383215
frozenset({'Rain Jacket'}),"frozenset({'Therma-FIT', 'Tech Fleece'})",0.5119047619047619,0.27380952380952384,0.14285714285714285,0.27906976744186046,1.019211324570273,1.0,0.002692743764172334,1.0072964669738864,0.03861788617886176,0.22222222222222224,0.007243614182234042,0.4004044489383215
frozenset({'Therma-FIT'}),"frozenset({'Rain Jacket', 'Tech Fleece'})",0.5119047619047619,0.27380952380952384,0.14285714285714285,0.27906976744186046,1.019211324570273,1.0,0.002692743764172334,1.0072964669738864,0.03861788617886176,0.22222222222222224,0.007243614182234042,0.4004044489383215
frozenset({'Tech Fleece'}),"frozenset({'Rain Jacket', 'Therma-FIT'})",0.5119047619047619,0.25,0.14285714285714285,0.27906976744186046,1.1162790697674418,1.0,0.014880952380952384,1.0403225806451613,0.2134146341463415,0.23076923076923075,0.03875968992248061,0.42524916943521596
"frozenset({'Rain Jacket', 'Therma-FIT'})",frozenset({'Vapor Cricket'}),0.25,0.5119047619047619,0.13095238095238096,0.5238095238095238,1.0232558139534884,1.0,0.0029761904761904934,1.0250000000000001,0.030303030303030474,0.20754716981132076,0.024390243902439164,0.38981173864894797
"frozenset({'Rain Jacket', 'Vapor Cricket'})",frozenset({'Therma-FIT'}),0.23809523809523808,0.5119047619047619,0.13095238095238096,0.55,1.074418604651163,1.0,0.009070294784580518,1.0846560846560849,0.09090909090909109,0.21153846153846154,0.07804878048780504,0.4029069767441861
frozenset({'Therma-FIT'}),"frozenset({'Rain Jacket', 'Vapor Cricket'})",0.5119047619047619,0.23809523809523808,0.13095238095238096,0.2558139534883721,1.0744186046511628,1.0,0.009070294784580518,1.0238095238095237,0.14190687361419096,0.21153846153846154,0.023255813953488403,0.4029069767441861
frozenset({'Vapor Cricket'}),"frozenset({'Rain Jacket', 'Therma-FIT'})",0.5119047619047619,0.25,0.13095238095238096,0.2558139534883721,1.0232558139534884,1.0,0.0029761904761904934,1.0078125,0.04656319290465658,0.20754716981132076,0.007751937984496138,0.38981173864894797
"frozenset({'Rain Jacket', 'Windrunner'})",frozenset({'Vapor Cricket'}),0.23809523809523808,0.5119047619047619,0.14285714285714285,0.6,1.172093023255814,1.0,0.02097505668934241,1.2202380952380953,0.1927083333333334,0.2352941176470588,0.1804878048780488,0.4395348837209302
"frozenset({'Rain Jacket', 'Vapor Cricket'})",frozenset({'Windrunner'}),0.23809523809523808,0.5119047619047619,0.14285714285714285,0.6,1.172093023255814,1.0,0.02097505668934241,1.2202380952380953,0.1927083333333334,0.2352941176470588,0.1804878048780488,0.4395348837209302
"frozenset({'Vapor Cricket', 'Windrunner'})",frozenset({'Rain Jacket'}),0.27380952380952384,0.5119047619047619,0.14285714285714285,0.5217391304347825,1.0192113245702727,1.0,0.002692743764172334,1.0205627705627704,0.02595628415300545,0.22222222222222224,0.020148462354188587,0.4004044489383215
